Row,Cell,Value
5,E5,"Kintoneフェーズ２改修"
6,E6,"不具合調査、分類
Phân loại bug"
7,E7,"今回開発の影響範囲
Define phạm vi ảnh hưởng"
8,E8,"影響範囲のレビュー
Review phạm vi ảnh hưởng"
9,E9,"影響範囲確認のサポート
Check bổ sung phạm vi ảnh hưởng"
10,E10,"リリース向けのテストケース作成
Tạo test case ST"
11,E11,"テスト実施
Thực thi Test"
12,E12,"テスト結果、エビデンスのビュー
Review kết quả test, evidence "
13,E13,"不具合修正
Fix bug (nếu có)"
14,E14,"テスト再実施
Test lại sau khi fix bug (nếu có)"
15,E15,"UAT"
16,E16,"リリース
Release"
17,E17,"HB21373-293 [Kintone] Get data từ Snowflake show trên Kintone"
18,E18,"HB21373-294 Tìm hiểu plugin Kintone intergrate với Snowflake"
19,E19,"HB21373-334 Kiểm chứng tính khả thi của việc call nhiều endpoint với cùng 1 Plugin Kintone"
20,E20,"HB21373-312 Tìm hiểu tool gusuku customine"
21,E21,"HB21373-317 Check connection tới Snowflake STG của KH"
22,E22,"HB21373-325 Check connection tới Snowflake PRD của KH"
23,E23,"HB21373-335 Thiết kế app show data của 不正検知テーブル lên Kintone"
24,E24,"HB21373-342 Coding"
25,E25,"HB21373-352 Demo với KH"
26,E26,"HB21373-343 Tạo test casse"
27,E27,"HB21373-344 Thực thi test"
28,E28,"HB21373-351 Làm user manual"
29,E29,"-- RPA -- "
30,E30,"HB21373-345 Monitoring RPA 2025/10/06 ~ 2025/10/31"
31,E31,"HB21373-346 経財部001_資金繰り管理・報告 / Bị lỗi tải file của ngân hàng 北國銀行"
32,E32,"HB21373-377 経財部001_資金繰り管理・報告  không tải được file ở ngân hàng Aozora"
33,E33,"HB21373-394 Monitoring RPA 2025/10/06 ~ 2025/10/31"
34,E34,"HB21373-395 【BS推進部034_不正利用抽出】祝日分のを手動実行 -- Chạy thủ công cho phần data của 2025/11/03"
35,E35,"HB21373-396 【ー経財部001_資金繰り管理・報告】V-ONEのPR更新をユーザー連携 -- Báo user thay PW V-ONE"
36,E36,"COE-151 案件名：【ITP本部】ロール紙不要の端末処理について"
37,E37,""
38,E38,"HB21373-287 [RPA] COE-150 BS1部022_取引照会WEB21サービス登録/Sửa bot"
39,E39,""
40,E40,""
41,E41,""
42,E42,""
43,E43,"COE-161 案件名：【ITP本部】シナリオアップロードのご依頼"
44,E44,"HB21373-323 35_RPA_MOCS登録前のExcelDLL不備対応"
45,E45,"HB21373-324 Làm file thiết kế (要件定義書）"
46,E46,"HB21373-361 Review file thiết kế"
47,E47,"HB21373-362 Coding"
48,E48,"HB21373-363 Test trên dev"
49,E49,"HB21373-364 UAT"
50,E50,"HB21373-365 Release"
51,E51,"HB21373-318 COE-164 案件名：【ソリューション部】オフィスペイ精算代行売上金額集計①"
52,E52,"HB21373-327 COE-165 fasstapソフトスペースポータルメールアドレス変更・再送依頼 -- Đổi tên, mail, reset password cho MID, MUID trên Soft Space"
53,E53,"HB21373-330 Confirm REQ với KH "
54,E54,"HB21373-331 Viết test case"
55,E55,"HB21373-332 Thực thi test"
56,E56,"HB21373-333 Làm manual và MTG giải thích cho user"
57,E57,"UAT"
